Title,Author,Rating,Type
The Iliad / The Odyssey,Homer,"4.07 avg rating — 81,239 ratings","4.07 avg rating — 81,239 ratings"
The Velveteen Rabbit,Margery Williams Bianco,"4.31 avg rating — 267,156 ratings","4.31 avg rating — 267,156 ratings"
The Silmarillion,J.R.R. Tolkien,"4.03 avg rating — 319,813 ratings","4.03 avg rating — 319,813 ratings"
The Trial,Franz Kafka,"3.95 avg rating — 367,659 ratings","3.95 avg rating — 367,659 ratings"
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"4.29 avg rating — 415,366 ratings","4.29 avg rating — 415,366 ratings"
The Girl on the Train,Paula Hawkins,"3.96 avg rating — 3,159,300 ratings",(Goodreads Author)
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"3.97 avg rating — 429,772 ratings",(Goodreads Author)
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"4.09 avg rating — 506,800 ratings",(Goodreads Author)
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"4.25 avg rating — 573,376 ratings","4.25 avg rating — 573,376 ratings"
Man’s Search for Meaning,Viktor E. Frankl,"4.37 avg rating — 810,531 ratings","4.37 avg rating — 810,531 ratings"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"4.11 avg rating — 3,502,240 ratings","4.11 avg rating — 3,502,240 ratings"
"Fallen (Fallen, #1)",Lauren Kate,"3.72 avg rating — 607,385 ratings",(Goodreads Author)
The Sun Also Rises,Ernest Hemingway,"3.79 avg rating — 473,504 ratings","3.79 avg rating — 473,504 ratings"
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,"4.37 avg rating — 295,771 ratings",(Goodreads Author)
A Confederacy of Dunces,John Kennedy Toole,"3.89 avg rating — 288,739 ratings","3.89 avg rating — 288,739 ratings"
The Green Mile,Stephen        King,"4.49 avg rating — 345,420 ratings",(Goodreads Author)
Dark Places,Gillian Flynn,"3.95 avg rating — 803,460 ratings",(Goodreads Author)
Mystic River,Dennis Lehane,"4.17 avg rating — 154,637 ratings",(Goodreads Author)
The Secret Magdalene,Ki Longfellow,"4.15 avg rating — 4,691 ratings",(Goodreads Author)
The Crucible,Arthur Miller,"3.61 avg rating — 446,208 ratings","3.61 avg rating — 446,208 ratings"
Cat’s Cradle,Kurt Vonnegut Jr.,"4.15 avg rating — 423,630 ratings","4.15 avg rating — 423,630 ratings"
The Screwtape Letters,C.S. Lewis,"4.27 avg rating — 489,779 ratings","4.27 avg rating — 489,779 ratings"
The Wind in the Willows,Kenneth Grahame,"4.02 avg rating — 232,238 ratings","4.02 avg rating — 232,238 ratings"
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,"4.07 avg rating — 356,267 ratings","4.07 avg rating — 356,267 ratings"
A Light in the Attic,Shel Silverstein,"4.36 avg rating — 467,193 ratings","4.36 avg rating — 467,193 ratings"
Misery,Stephen        King,"4.23 avg rating — 801,348 ratings",(Goodreads Author)
The Lord of the Rings,J.R.R. Tolkien,"4.54 avg rating — 709,206 ratings","4.54 avg rating — 709,206 ratings"
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,"4.32 avg rating — 303,434 ratings",(Goodreads Author)
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,"4.07 avg rating — 626,701 ratings",(Goodreads Author)
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"4.58 avg rating — 721,685 ratings",(Goodreads Author)
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"4.47 avg rating — 344,172 ratings","4.47 avg rating — 344,172 ratings"
The Phantom of the Opera,Gaston Leroux,"3.96 avg rating — 263,862 ratings","3.96 avg rating — 263,862 ratings"
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"4.42 avg rating — 989,365 ratings","4.42 avg rating — 989,365 ratings"
Shutter Island,Dennis Lehane,"4.13 avg rating — 210,076 ratings",(Goodreads Author)
Blindness,José Saramago,"4.18 avg rating — 318,061 ratings","4.18 avg rating — 318,061 ratings"
The God of Small Things,Arundhati Roy,"3.96 avg rating — 313,684 ratings",(Goodreads Author)
Before I Go to Sleep,S.J. Watson,"3.90 avg rating — 354,494 ratings",(Goodreads Author)
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,"4.46 avg rating — 1,201 ratings",(Goodreads Author)
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,"4.01 avg rating — 419,800 ratings",(Goodreads Author)
1984,George Orwell,"4.20 avg rating — 5,108,939 ratings","4.20 avg rating — 5,108,939 ratings"
Big Little Lies,Liane Moriarty,"4.31 avg rating — 1,073,086 ratings",(Goodreads Author)
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,002,357 ratings","4.40 avg rating — 3,002,357 ratings"
Girl with a Pearl Earring,Tracy Chevalier,"3.93 avg rating — 762,076 ratings",(Goodreads Author)
The House of the Spirits,Isabel Allende,"4.29 avg rating — 296,785 ratings",(Goodreads Author)
"Uglies (Uglies, #1)",Scott Westerfeld,"3.85 avg rating — 696,814 ratings",(Goodreads Author)
Never Lie,Freida McFadden,"4.09 avg rating — 1,121,913 ratings",(Goodreads Author)
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"4.67 avg rating — 602,031 ratings",(Goodreads Author)
The Wind-Up Bird Chronicle,Haruki Murakami,"4.14 avg rating — 302,513 ratings","4.14 avg rating — 302,513 ratings"
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,"4.14 avg rating — 474,542 ratings","4.14 avg rating — 474,542 ratings"
The Woman in the Window,A.J. Finn,"3.94 avg rating — 848,181 ratings","3.94 avg rating — 848,181 ratings"
None of This Is True,Lisa Jewell,"4.10 avg rating — 889,817 ratings",(Goodreads Author)
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"4.19 avg rating — 786,547 ratings","4.19 avg rating — 786,547 ratings"
Norwegian Wood,Haruki Murakami,"really liked it 4.00 avg rating — 679,614 ratings","really liked it 4.00 avg rating — 679,614 ratings"
Paper Towns,John Green,"3.70 avg rating — 1,450,449 ratings",(Goodreads Author)
Speak,Laurie Halse Anderson,"4.05 avg rating — 617,612 ratings",(Goodreads Author)
She’s Come Undone,Wally Lamb,"3.91 avg rating — 354,784 ratings",(Goodreads Author)
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"3.76 avg rating — 491,464 ratings",(Goodreads Author)
The Paris Apartment,Lucy Foley,"3.65 avg rating — 649,391 ratings",(Goodreads Author)
"Marked (House of Night, #1)",P.C. Cast,"3.82 avg rating — 514,645 ratings",(Goodreads Author)
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"3.96 avg rating — 509,000 ratings",(Goodreads Author)
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"3.84 avg rating — 677,712 ratings","3.84 avg rating — 677,712 ratings"
Lock Every Door,Riley Sager,"3.89 avg rating — 264,185 ratings",(Goodreads Author)
"You (You, #1)",Caroline Kepnes,"3.96 avg rating — 271,839 ratings",(Goodreads Author)
Kafka on the Shore,Haruki Murakami,"4.12 avg rating — 517,517 ratings","4.12 avg rating — 517,517 ratings"
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"4.07 avg rating — 366,533 ratings","4.07 avg rating — 366,533 ratings"
The Sound and the Fury,William Faulkner,"3.86 avg rating — 190,098 ratings","3.86 avg rating — 190,098 ratings"
The Complete Calvin and Hobbes,Bill Watterson,"4.81 avg rating — 41,468 ratings","4.81 avg rating — 41,468 ratings"
For Whom the Bell Tolls,Ernest Hemingway,"3.98 avg rating — 307,881 ratings","3.98 avg rating — 307,881 ratings"
The Complete Sherlock Holmes,Arthur Conan Doyle,"4.50 avg rating — 213,144 ratings","4.50 avg rating — 213,144 ratings"
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"4.21 avg rating — 1,179,371 ratings",(Goodreads Author)
Island of the Blue Dolphins,Scott O'Dell,"3.88 avg rating — 343,369 ratings","3.88 avg rating — 343,369 ratings"
The Idiot,Fyodor Dostoevsky,"4.21 avg rating — 202,967 ratings","4.21 avg rating — 202,967 ratings"
"Inkheart (Inkworld, #1)",Cornelia Funke,"3.92 avg rating — 436,260 ratings",(Goodreads Author)
Roots: The Saga of an American Family,Alex Haley,"4.44 avg rating — 162,540 ratings","4.44 avg rating — 162,540 ratings"
Stranger in a Strange Land,Robert A. Heinlein,"3.92 avg rating — 321,391 ratings","3.92 avg rating — 321,391 ratings"
Othello,William Shakespeare,"3.89 avg rating — 422,918 ratings","3.89 avg rating — 422,918 ratings"
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,"4.20 avg rating — 186,940 ratings",(Goodreads Author)
Into the Wild,Jon Krakauer,"4.02 avg rating — 1,151,973 ratings",(Goodreads Author)
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"3.84 avg rating — 1,101,281 ratings","3.84 avg rating — 1,101,281 ratings"
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,"3.73 avg rating — 692,198 ratings",(Goodreads Author)
Pretty Girls,Karin Slaughter,"4.02 avg rating — 590,300 ratings",(Goodreads Author)
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,"4.24 avg rating — 760,212 ratings","4.24 avg rating — 760,212 ratings"
"Neverwhere (London Below, #1)",Neil Gaiman,"4.17 avg rating — 551,899 ratings",(Goodreads Author)
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"4.11 avg rating — 210,724 ratings","4.11 avg rating — 210,724 ratings"
"Wonder (Wonder, #1)",R.J. Palacio,"4.36 avg rating — 1,156,235 ratings","4.36 avg rating — 1,156,235 ratings"
King Lear,William Shakespeare,"3.91 avg rating — 230,061 ratings","3.91 avg rating — 230,061 ratings"
The Things They Carried,Tim O'Brien,"4.14 avg rating — 333,126 ratings","4.14 avg rating — 333,126 ratings"
"Delirium (Delirium, #1)",Lauren Oliver,"3.95 avg rating — 475,012 ratings",(Goodreads Author)
Never Let Me Go,Kazuo Ishiguro,"3.85 avg rating — 789,207 ratings",(Goodreads Author)
Behind Closed Doors,B.A. Paris,"3.97 avg rating — 699,379 ratings",(Goodreads Author)
No Exit,Taylor  Adams,"3.99 avg rating — 195,291 ratings",(Goodreads Author)
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"4.02 avg rating — 1,557,491 ratings",(Goodreads Author)
The Couple Next Door,Shari Lapena,"3.80 avg rating — 666,633 ratings",(Goodreads Author)
White Oleander,Janet Fitch,"really liked it 4.00 avg rating — 361,513 ratings",(Goodreads Author)
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,"really liked it 4.00 avg rating — 701,948 ratings",(Goodreads Author)
A Flicker in the Dark,Stacy Willingham,"3.98 avg rating — 527,617 ratings",(Goodreads Author)
Home Before Dark,Riley Sager,"4.06 avg rating — 261,700 ratings",(Goodreads Author)
"Ready Player One (Ready Player One, #1)",Ernest Cline,"4.23 avg rating — 1,249,960 ratings",(Goodreads Author)
"Foundation (Foundation, #1)",Isaac Asimov,"4.17 avg rating — 573,632 ratings","4.17 avg rating — 573,632 ratings"
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,"3.98 avg rating — 11,789 ratings",(Goodreads Author)
Uncle Tom’s Cabin,Harriet Beecher Stowe,"3.91 avg rating — 237,424 ratings","3.91 avg rating — 237,424 ratings"
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"4.47 avg rating — 649,547 ratings",(Goodreads Author)
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"4.49 avg rating — 857,114 ratings",(Goodreads Author)
East of Eden,John Steinbeck,"4.43 avg rating — 586,938 ratings","4.43 avg rating — 586,938 ratings"
Final Girls,Riley Sager,"3.82 avg rating — 232,195 ratings",(Goodreads Author)
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"4.41 avg rating — 641,624 ratings",(Goodreads Author)
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"4.17 avg rating — 3,684,393 ratings",(Goodreads Author)
Midnight Sun [2008 Draft],Stephenie Meyer,"4.01 avg rating — 148,895 ratings","4.01 avg rating — 148,895 ratings"
The Last Thing He Told Me,Laura Dave,"3.83 avg rating — 1,074,999 ratings",(Goodreads Author)
The Once and Future King,T.H. White,"4.07 avg rating — 115,672 ratings","4.07 avg rating — 115,672 ratings"
Then She Was Gone,Lisa Jewell,"4.05 avg rating — 873,572 ratings",(Goodreads Author)
James and the Giant Peach,Roald Dahl,"4.03 avg rating — 500,068 ratings","4.03 avg rating — 500,068 ratings"
I Know This Much Is True,Wally Lamb,"4.21 avg rating — 318,954 ratings",(Goodreads Author)
The Only One Left,Riley Sager,"4.14 avg rating — 468,937 ratings",(Goodreads Author)
Candide,Voltaire,"3.76 avg rating — 290,951 ratings","3.76 avg rating — 290,951 ratings"
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,"4.35 avg rating — 153,577 ratings","4.35 avg rating — 153,577 ratings"
Paradise Lost,John Milton,"3.85 avg rating — 175,644 ratings","3.85 avg rating — 175,644 ratings"
The Complete Works,William Shakespeare,"4.48 avg rating — 57,410 ratings","4.48 avg rating — 57,410 ratings"
Flow Down Like Silver,Ki Longfellow,"4.01 avg rating — 4,516 ratings",(Goodreads Author)
Invisible Man,Ralph Ellison,"3.92 avg rating — 196,479 ratings","3.92 avg rating — 196,479 ratings"
The Time Machine,H.G. Wells,"3.89 avg rating — 546,984 ratings","3.89 avg rating — 546,984 ratings"
The Historian,Elizabeth Kostova,"3.80 avg rating — 272,201 ratings","3.80 avg rating — 272,201 ratings"
All the Light We Cannot See,Anthony Doerr,"4.31 avg rating — 1,866,699 ratings",(Goodreads Author)
"Me Before You (Me Before You, #1)",Jojo Moyes,"4.26 avg rating — 1,743,183 ratings",(Goodreads Author)
"Heidi (Heidi, #1-2)",Johanna Spyri,"4.04 avg rating — 207,050 ratings","4.04 avg rating — 207,050 ratings"
The Thirteenth Tale,Diane Setterfield,"3.98 avg rating — 321,445 ratings",(Goodreads Author)
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"4.55 avg rating — 596,172 ratings",(Goodreads Author)
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,"4.23 avg rating — 178,550 ratings",(Goodreads Author)
The Martian,Andy Weir,"4.42 avg rating — 1,215,047 ratings",(Goodreads Author)
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,"4.21 avg rating — 554,647 ratings",(Goodreads Author)
"Graceling (Graceling Realm, #1)",Kristin Cashore,"4.07 avg rating — 474,281 ratings","4.07 avg rating — 474,281 ratings"
"Walden or, Life in the Woods",Henry David Thoreau,"3.78 avg rating — 198,697 ratings","3.78 avg rating — 198,697 ratings"
Leaves of Grass,Walt Whitman,"4.12 avg rating — 113,407 ratings","4.12 avg rating — 113,407 ratings"
Different Seasons,Stephen        King,"4.36 avg rating — 214,883 ratings",(Goodreads Author)
"Are You There God? It’s Me, Margaret",Judy Blume,"3.94 avg rating — 249,962 ratings",(Goodreads Author)
Hamlet,William Shakespeare,"4.02 avg rating — 1,009,010 ratings","4.02 avg rating — 1,009,010 ratings"
The Cider House Rules,John Irving,"4.17 avg rating — 191,264 ratings",(Goodreads Author)
The Complete Maus,Art Spiegelman,"4.58 avg rating — 240,895 ratings","4.58 avg rating — 240,895 ratings"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"4.30 avg rating — 1,548,789 ratings",(Goodreads Author)
Fangirl,Rainbow Rowell,"3.94 avg rating — 767,900 ratings",(Goodreads Author)
Mrs. Dalloway,Virginia Woolf,"3.79 avg rating — 332,302 ratings","3.79 avg rating — 332,302 ratings"
"Legend (Legend, #1)",Marie Lu,"4.15 avg rating — 551,409 ratings",(Goodreads Author)
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"4.28 avg rating — 318,444 ratings","4.28 avg rating — 318,444 ratings"
Sophie’s World,Jostein Gaarder,"3.97 avg rating — 272,579 ratings","3.97 avg rating — 272,579 ratings"
The Awakening,Kate Chopin,"3.68 avg rating — 220,067 ratings","3.68 avg rating — 220,067 ratings"
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"4.13 avg rating — 370,727 ratings","4.13 avg rating — 370,727 ratings"
Do Androids Dream of Electric Sheep?,Philip K. Dick,"4.09 avg rating — 487,105 ratings","4.09 avg rating — 487,105 ratings"
The Graveyard Book,Neil Gaiman,"4.16 avg rating — 558,009 ratings",(Goodreads Author)
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"4.30 avg rating — 653,509 ratings",(Goodreads Author)
Middlemarch,George Eliot,"4.03 avg rating — 172,816 ratings","4.03 avg rating — 172,816 ratings"
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,"3.83 avg rating — 954,049 ratings",(Goodreads Author)
The Monster at the End of this Book,Jon Stone,"4.46 avg rating — 126,201 ratings","4.46 avg rating — 126,201 ratings"
Stardust,Neil Gaiman,"4.10 avg rating — 473,426 ratings",(Goodreads Author)
Sophie’s Choice,William Styron,"4.17 avg rating — 93,122 ratings","4.17 avg rating — 93,122 ratings"
The Prince of Tides,Pat Conroy,"4.26 avg rating — 212,938 ratings","4.26 avg rating — 212,938 ratings"
Black Beauty,Anna Sewell,"really liked it 4.00 avg rating — 291,354 ratings","really liked it 4.00 avg rating — 291,354 ratings"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"3.74 avg rating — 397,024 ratings","3.74 avg rating — 397,024 ratings"
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"3.97 avg rating — 553,568 ratings",(Goodreads Author)
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"4.45 avg rating — 602,942 ratings","4.45 avg rating — 602,942 ratings"
"A Time to Kill (Jake Brigance, #1)",John Grisham,"4.12 avg rating — 816,995 ratings",(Goodreads Author)
Number the Stars,Lois Lowry,"4.19 avg rating — 601,392 ratings",(Goodreads Author)
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,"4.05 avg rating — 579,924 ratings","4.05 avg rating — 579,924 ratings"
