Title,Author,Rating,Type
"The Bonehunters (Malazan Book of the Fallen, #6)",Steven Erikson,"4.49 avg rating — 43,088 ratings",(Goodreads Author)
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"3.96 avg rating — 118,046 ratings",(Goodreads Author)
"Three Day Road (Bird Family Trilogy, #1)",Joseph Boyden,"4.28 avg rating — 25,436 ratings","4.28 avg rating — 25,436 ratings"
"Crave (Crave, #1)",Tracy Wolff,"3.77 avg rating — 238,578 ratings","3.77 avg rating — 238,578 ratings"
"The Maddest Obsession (Made, #2)",Danielle Lori,"4.25 avg rating — 203,695 ratings",(Goodreads Author)
The Truth About Aaron: My Journey to Understand My Brother,Jonathan Hernández,"3.98 avg rating — 1,371 ratings","3.98 avg rating — 1,371 ratings"
Selected Poems,Robert Frost,"4.13 avg rating — 6,191 ratings","4.13 avg rating — 6,191 ratings"
The Wife Upstairs,Rachel Hawkins,"3.73 avg rating — 299,357 ratings",(Goodreads Author)
On Beauty,Zadie Smith,"3.78 avg rating — 87,965 ratings","3.78 avg rating — 87,965 ratings"
"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",Terry Pratchett,"4.32 avg rating — 77,867 ratings","4.32 avg rating — 77,867 ratings"
"Winter's Heart (The Wheel of Time, #9)",Robert Jordan,"3.97 avg rating — 147,937 ratings","3.97 avg rating — 147,937 ratings"
"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,"3.62 avg rating — 114,125 ratings",(Goodreads Author)
